Year,State,Rate,Deaths,Name,Population,PovertyCount,PovertyRate,UnemploymentRate,NoCompletedEducation,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,WhitePop,BlackPop,NativeAmericanPop,AsianPop,NativeHawaiianPop,HispanicPop,TwoOrMoreRacesPop
2017,MI,6.78,755,Michigan,9965265.0,1398527.0,14.034017158600399,2.949183990591319,71854.0,1695368.0,643446.0,1207829.0,7813755.0,1374314.0,53316.0,311721.0,3099.0,507353.0,291259.0
2016,MI,6.42,727,Michigan,9965265.0,1398527.0,14.034017158600399,2.949183990591319,71854.0,1695368.0,643446.0,1207829.0,7813755.0,1374314.0,53316.0,311721.0,3099.0,507353.0,291259.0
2015,MI,6.52,739,Michigan,9965265.0,1398527.0,14.034017158600399,2.949183990591319,71854.0,1695368.0,643446.0,1207829.0,7813755.0,1374314.0,53316.0,311721.0,3099.0,507353.0,291259.0
2019,MN,4.47,302,Minnesota,5563378.0,526065.0,9.455855776831989,1.9972577811538241,46158.0,812779.0,431425.0,892893.0,4609049.0,356515.0,58011.0,268181.0,2194.0,299556.0,165396.0
2018,MN,5.06,341,Minnesota,5563378.0,526065.0,9.455855776831989,1.9972577811538241,46158.0,812779.0,431425.0,892893.0,4609049.0,356515.0,58011.0,268181.0,2194.0,299556.0,165396.0
2017,MN,4.8,329,Minnesota,5563378.0,526065.0,9.455855776831989,1.9972577811538241,46158.0,812779.0,431425.0,892893.0,4609049.0,356515.0,58011.0,268181.0,2194.0,299556.0,165396.0
2016,MN,5.13,358,Minnesota,5563378.0,526065.0,9.455855776831989,1.9972577811538241,46158.0,812779.0,431425.0,892893.0,4609049.0,356515.0,58011.0,268181.0,2194.0,299556.0,165396.0
2015,MN,5.17,361,Minnesota,5563378.0,526065.0,9.455855776831989,1.9972577811538241,46158.0,812779.0,431425.0,892893.0,4609049.0,356515.0,58011.0,268181.0,2194.0,299556.0,165396.0
2019,MS,9.07,322,Mississippi,2984418.0,585786.0,19.628148603848388,3.3417905936768912,24760.0,477712.0,192866.0,269736.0,1743217.0,1125623.0,14269.0,29605.0,680.0,91202.0,40296.0
2018,MS,8.41,311,Mississippi,2984418.0,585786.0,19.628148603848388,3.3417905936768912,24760.0,477712.0,192866.0,269736.0,1743217.0,1125623.0,14269.0,29605.0,680.0,91202.0,40296.0
2017,MS,8.73,326,Mississippi,2984418.0,585786.0,19.628148603848388,3.3417905936768912,24760.0,477712.0,192866.0,269736.0,1743217.0,1125623.0,14269.0,29605.0,680.0,91202.0,40296.0
2016,MS,8.67,329,Mississippi,2984418.0,585786.0,19.628148603848388,3.3417905936768912,24760.0,477712.0,192866.0,269736.0,1743217.0,1125623.0,14269.0,29605.0,680.0,91202.0,40296.0
2015,MS,9.45,363,Mississippi,2984418.0,585786.0,19.628148603848388,3.3417905936768912,24760.0,477712.0,192866.0,269736.0,1743217.0,1125623.0,14269.0,29605.0,680.0,91202.0,40296.0
2019,MO,6.1,433,Missouri,6104910.0,810045.0,13.268745976599163,2.289779865714646,34182.0,1080715.0,328720.0,745843.0,5015904.0,701334.0,27084.0,120654.0,8231.0,254791.0,160368.0
2018,MO,6.35,465,Missouri,6104910.0,810045.0,13.268745976599163,2.289779865714646,34182.0,1080715.0,328720.0,745843.0,5015904.0,701334.0,27084.0,120654.0,8231.0,254791.0,160368.0
2017,MO,6.26,457,Missouri,6104910.0,810045.0,13.268745976599163,2.289779865714646,34182.0,1080715.0,328720.0,745843.0,5015904.0,701334.0,27084.0,120654.0,8231.0,254791.0,160368.0
2016,MO,6.59,492,Missouri,6104910.0,810045.0,13.268745976599163,2.289779865714646,34182.0,1080715.0,328720.0,745843.0,5015904.0,701334.0,27084.0,120654.0,8231.0,254791.0,160368.0
2015,MO,6.49,487,Missouri,6104910.0,810045.0,13.268745976599163,2.289779865714646,34182.0,1080715.0,328720.0,745843.0,5015904.0,701334.0,27084.0,120654.0,8231.0,254791.0,160368.0
2019,MT,4.63,54,Montana,1050649.0,134605.0,12.811605017470153,2.0475915362790045,3154.0,175082.0,66951.0,155230.0,930204.0,5303.0,66839.0,8259.0,807.0,40314.0,32161.0
2018,MT,4.78,55,Montana,1050649.0,134605.0,12.811605017470153,2.0475915362790045,3154.0,175082.0,66951.0,155230.0,930204.0,5303.0,66839.0,8259.0,807.0,40314.0,32161.0
2017,MT,5.51,65,Montana,1050649.0,134605.0,12.811605017470153,2.0475915362790045,3154.0,175082.0,66951.0,155230.0,930204.0,5303.0,66839.0,8259.0,807.0,40314.0,32161.0
2016,MT,5.78,71,Montana,1050649.0,134605.0,12.811605017470153,2.0475915362790045,3154.0,175082.0,66951.0,155230.0,930204.0,5303.0,66839.0,8259.0,807.0,40314.0,32161.0
